qID,menText,start_byte,end_byte,matches,pdncID
Q1-0,You,3637,3640,[3],3
Q3-0,Lebrun,4756,4762,[15],15
Q4-0,him,4903,4906,[15],15
Q4-0,his,4913,4916,[15],15
Q4-0,he,4931,4933,[15],15
Q4-0,you,4940,4943,[3],3
Q4-0,Edna,4945,4949,[3],3
Q7-0,L once,8893,8899,[5],5
Q9-0,my dear,14657,14664,[3],3
Q10-1,She,23233,23236,[0],0
Q10-1,her,23256,23259,[0],0
Q10-1,she,23270,23273,[0],0
Q10-1,her,23287,23290,[0],0
Q11-0,You,23508,23511,[15],15
Q12-0,You,23572,23575,[0],0
Q12-0,Ratignolle,23622,23632,[0],0
Q16-0,you,28253,28256,[3],3
Q18-1,You,28585,28588,[3],3
Q18-1,your,28602,28606,[3],3
Q18-1,you,28668,28671,[3],3
Q19-0,you,35988,35991,[3],3
Q22-1,you,36693,36696,[3],3
Q24-0,you,37391,37394,[3],3
Q27-0,you,37965,37968,[3],3
Q27-0,ma ch re,38013,38021,[3],3
Q28-1,you,38411,38414,[0],0
Q29-0,Pauvre ch rie,38945,38958,[3],3
Q30-0,Robert,45314,45320,[15],15
Q31-0,you,45565,45568,[0],0
Q32-0,Mrs. Pontellier,45698,45713,[3],3
Q33-1,Madame Ratignolle,45789,45806,[0],0
Q34-0,Mrs. Pontellier,45873,45888,[3],3
Q36-0,She,45974,45977,[3],3
Q36-0,she,45996,45999,[3],3
Q36-0,She,46016,46019,[3],3
Q36-0,you,46065,46068,[15],15
Q37-0,she,46220,46223,[3],3
Q37-1,she,46325,46328,[3],3
Q37-1,Mrs. Pontellier,46444,46459,[3],3
Q37-1,she,46491,46494,[3],3
Q38-0,Robert,46615,46621,[15],15
Q38-1,You,46661,46664,[15],15
Q38-1,you,46690,46693,[15],15
Q38-1,You,46706,46709,[15],15
Q38-1,your,46829,46833,[15],15
Q38-1,you,46929,46932,[15],15
Q38-1,you,46972,46975,[15],15
Q38-1,you,46987,46990,[15],15
Q38-1,you,47072,47075,[15],15
Q40-0,You,47283,47286,[0],0
Q42-0,you,47480,47483,[15],15
Q42-1,Arobin,47558,47564,[1],1
Q42-1,Alc e Arobin,47578,47590,[1],1
Q43-0,You,48214,48217,[0],0
Q43-0,Ad le,48236,48241,[0],0
Q44-0,Mrs. Pontellier,48309,48324,[3],3
Q44-0,You,48351,48354,[0],0
Q44-0,Your,48410,48414,[0],0
Q44-0,you,48517,48520,[0],0
Q44-1,you,48565,48568,[0],0
Q44-1,you,48606,48609,[0],0
Q44-1,you,48630,48633,[0],0
Q45-0,Mrs. Pontellier,50688,50703,[3],3
Q47-0,her,50767,50770,[3],3
Q47-0,you,50819,50822,[15],15
Q48-0,Victor,50958,50964,[18],18
Q49-0,Victor,51007,51013,[18],18
Q50-0,He,51044,51046,[18],18
