qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"I can tell you nothing, Aunt Juley. I know no more than you do. We met--we only met the father and mother abroad last spring. I know so little that I didn t even know their son s name. It s all so--","[6426, 6624]",Margaret,['Aunt Juley'],Implicit,,"['you', 'Aunt Juley', 'you', 'We', 'we', 'the father and mother', 'their son']","[[6437, 6440], [6450, 6460], [6482, 6485], [6490, 6492], [6498, 6500], [6510, 6531], [6593, 6602]]","[['Aunt Juley'], ['Aunt Juley'], ['Aunt Juley'], ['Margaret', 'Helen'], ['Margaret', 'Helen'], ['Mr. Wilcox'], ['Paul']]",X,0,major,HowardsEnd,25,25,2,2,25,6426,6624
Q1-0,In that case it is far too sudden.,"[6669, 6703]",Aunt Juley,['Margaret'],Implicit,,[],[],[],X,1,minor,HowardsEnd,26,26,2,2,6,6669,6703
Q2-0,"Who knows, Aunt Juley, who knows?","[6707, 6740]",Margaret,['Aunt Juley'],Implicit,,['Aunt Juley'],"[[6718, 6728]]",[['Aunt Juley']],X,2,major,HowardsEnd,27,27,2,2,25,6707,6740
Q3-0,"But, Margaret, dear, I mean, we mustn t be unpractical now that we ve come to facts. It is too sudden, surely.","[6744, 6854]",Aunt Juley,['Margaret'],Implicit,,"['Margaret', 'dear', 'we', 'we']","[[6749, 6757], [6759, 6763], [6773, 6775], [6808, 6810]]","[['Margaret'], ['Margaret'], ['Aunt Juley', 'Margaret'], ['Aunt Juley', 'Margaret']]",X,3,minor,HowardsEnd,28,28,2,2,6,6744,6854
Q4-0,Who knows!,"[6858, 6868]",Margaret,['Aunt Juley'],Implicit,,[],[],[],X,4,major,HowardsEnd,29,29,2,2,25,6858,6868
Q5-0,"But, Margaret, dear--","[6872, 6893]",Aunt Juley,['Margaret'],Implicit,,"['Margaret', 'dear']","[[6877, 6885], [6887, 6891]]","[['Margaret'], ['Margaret']]",X,5,minor,HowardsEnd,30,30,2,2,6,6872,6893
Q6-0,"I ll go for her other letters,","[6897, 6927]",Margaret,['Aunt Juley'],Explicit,said Margaret,['her'],"[[6909, 6912]]",[['Helen']],X,6,major,HowardsEnd,31,31,2,2,25,6897,6927
Q6-1,"No, I won t, I ll finish my breakfast. In fact, I haven t them. We met the Wilcoxes on an awful expedition that we made from Heidelberg to Speyer. Helen and I had got it into our heads that there was a grand old cathedral at Speyer--the Archbishop of Speyer was one of the seven electors--you know-- Speyer, Maintz, and Koln.  Those three sees once commanded the Rhine Valley and got it the name of Priest Street.","[6945, 7358]",Margaret,['Aunt Juley'],Explicit,said Margaret,"['We', 'Wilcoxes', 'we', 'Helen']","[[7009, 7011], [7020, 7028], [7057, 7059], [7092, 7097]]","[['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Helen']]",X,6,major,HowardsEnd,31,31,2,2,25,6945,7358
Q7-0,"I still feel quite uneasy about this business, Margaret.","[7362, 7418]",Aunt Juley,['Margaret'],Implicit,,['Margaret'],"[[7409, 7417]]",[['Margaret']],X,7,minor,HowardsEnd,32,32,2,2,6,7362,7418
Q8-0,"The train crossed by a bridge of boats, and at first sight it looked quite fine. But oh, in five minutes we had seen the whole thing. The cathedral had been ruined, absolutely ruined, by restoration; not an inch left of the original structure. We wasted a whole day, and came across the Wilcoxes as we were eating our sandwiches in the public gardens. They too, poor things, had been taken in--they were actually stopping at Speyer--and they rather liked Helen s insisting that they must fly with us to Heidelberg. As a matter of fact, they did come on next day. We all took some drives together. They knew us well enough to ask Helen to come and see them--at least, I was asked too, but Tibby s illness prevented me, so last Monday she went alone. That s all. You know as much as I do now. It s a young man out of the unknown. She was to have come back Saturday, but put off till Monday, perhaps on account of--I don t know.","[7422, 8347]",Margaret,['Aunt Juley'],Implicit,,"['we', 'We', 'Wilcoxes', 'we', 'They', 'poor things', 'they', 'they', 'Helen', 'us', 'they', 'We', 'They', 'us', 'Helen', 'them', 'Tibby', 'she', 'You', 'a young man', 'She']","[[7527, 7529], [7666, 7668], [7709, 7717], [7721, 7723], [7774, 7778], [7784, 7795], [7816, 7820], [7859, 7863], [7877, 7882], [7919, 7921], [7958, 7962], [7985, 7987], [8019, 8023], [8029, 8031], [8051, 8056], [8073, 8077], [8110, 8115], [8155, 8158], [8183, 8186], [8218, 8229], [8250, 8253]]","[['Margaret', 'Helen'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Henry', 'Ruth'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Helen'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Margaret', 'Helen'], ['Helen'], ['Mrs. Wilcox', 'Mr. Wilcox'], ['Tibby'], ['Helen'], ['Aunt Juley'], ['Paul'], ['Helen']]",X,8,major,HowardsEnd,33,33,2,2,25,7422,8347
