exp_name,text,start_byte,end_byte,pdncID
antonida vassilievna tarassevitcha,Antonida Vassilievna Tarassevitcha,126253,126287,5
"a modestly, plainly dressed lady","a modestly, plainly dressed lady",259129,259161,3
a certain jew of frankfurt,a certain Jew of Frankfurt,258874,258900,0
a grey-headed old man,a grey-headed old man,177575,177596,1
antonida vassilievna,Antonida Vassilievna,128155,128175,5
antonida vassilievna,Antonida Vassilievna,129283,129303,5
antonida vassilievna,Antonida Vassilievna,134812,134832,5
polina alexandrovna,Polina Alexandrovna,897,916,12
polina alexandrovna,Polina Alexandrovna,3433,3452,12
polina alexandrovna,Polina Alexandrovna,6629,6648,12
polina alexandrovna,Polina Alexandrovna,12730,12749,12
polina alexandrovna,Polina Alexandrovna,32332,32351,12
polina alexandrovna,Polina Alexandrovna,45606,45625,12
polina alexandrovna,Polina Alexandrovna,59848,59867,12
polina alexandrovna,Polina Alexandrovna,79429,79448,12
polina alexandrovna,Polina Alexandrovna,129098,129117,12
polina alexandrovna,Polina Alexandrovna,184751,184770,12
polina alexandrovna,Polina Alexandrovna,235946,235965,12
baroness burmergelm,Baroness Burmergelm,72729,72748,6
baroness burmergelm,Baroness Burmergelm,83428,83447,6
baroness burmergelm,Baroness Burmergelm,192878,192897,6
monsieur de griers,Monsieur de Griers,95166,95184,8
monsieur de griers,Monsieur de Griers,96925,96943,8
monsieur de griers,Monsieur de Griers,102676,102694,8
monsieur de griers,Monsieur de Griers,106143,106161,8
monsieur de griers,Monsieur de Griers,135508,135526,8
monsieur de griers,Monsieur de Griers,143981,143999,8
monsieur de griers,Monsieur de Griers,190068,190086,8
monsieur de griers,Monsieur de Griers,325237,325255,8
monsieur le comte,Monsieur le Comte,4027,4044,8
monsieur le comte,Monsieur le Comte,4176,4193,8
alexis ivanovitch,Alexis Ivanovitch,89089,89106,4
alexis ivanovitch,Alexis Ivanovitch,89701,89718,4
alexis ivanovitch,Alexis Ivanovitch,89720,89737,4
alexis ivanovitch,Alexis Ivanovitch,124737,124754,4
alexis ivanovitch,Alexis Ivanovitch,125409,125426,4
alexis ivanovitch,Alexis Ivanovitch,125428,125445,4
alexis ivanovitch,Alexis Ivanovitch,127903,127920,4
alexis ivanovitch,Alexis Ivanovitch,140902,140919,4
alexis ivanovitch,Alexis Ivanovitch,143890,143907,4
alexis ivanovitch,Alexis Ivanovitch,148809,148826,4
alexis ivanovitch,Alexis Ivanovitch,150057,150074,4
alexis ivanovitch,Alexis Ivanovitch,151362,151379,4
alexis ivanovitch,Alexis Ivanovitch,152087,152104,4
alexis ivanovitch,Alexis Ivanovitch,153913,153930,4
alexis ivanovitch,Alexis Ivanovitch,168016,168033,4
alexis ivanovitch,Alexis Ivanovitch,172583,172600,4
alexis ivanovitch,Alexis Ivanovitch,175181,175198,4
alexis ivanovitch,Alexis Ivanovitch,176353,176370,4
alexis ivanovitch,Alexis Ivanovitch,176800,176817,4
alexis ivanovitch,Alexis Ivanovitch,177494,177511,4
