qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"Now, do you think we re enjoying ourselves enormously?","[1732, 1786]",Katharine Hilbery,[],Explicit,Katharine as she shook hands with him asked him,"['you', 'we']","[[1740, 1743], [1750, 1752]]","[['Ralph Denham'], ['Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue', 'Mr. Hilbery', 'A Thin, Elderly Gentleman']]",X,0,major,NightAndDay,4,4,1,1,19,1732,1786
Q1-0,"Mr. Denham, mother,","[1792, 1811]",Katharine Hilbery,"['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Mrs. Hilbery', 'Mr. Fortescue']",Anaphoric,she said,"['Mr. Denham', 'mother']","[[1792, 1802], [1804, 1810]]","[['Ralph Denham'], ['Mrs. Hilbery']]",X,1,major,NightAndDay,4,4,1,1,19,1792,1811
Q2-0,"Now, what would you do if you were married to an engineer, and had to live in Manchester, Mr. Denham?","[3091, 3192]",Mrs. Hilbery,"['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Katharine Hilbery', 'Mr. Fortescue']",Explicit,Mrs Hilbery deftly joined the severed parts by leaning towards him and remarking,"['you', 'you', 'Mr. Denham']","[[3107, 3110], [3117, 3120], [3181, 3191]]","[['Ralph Denham'], ['Ralph Denham'], ['Ralph Denham']]",X,2,major,NightAndDay,6,6,1,1,32,3091,3192
Q3-0,"Surely she could learn Persian,","[3196, 3227]","A Thin, Elderly Gentleman","['Mr. Hilbery', 'Ralph Denham', 'Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue']",Anaphoric,broke in a thin elderly gentleman,[],[],[],X,3,minor,NightAndDay,7,7,1,1,2,3196,3227
Q3-1,Is there no retired schoolmaster or man of letters in Manchester with whom she could read Persian?,"[3266, 3364]","A Thin, Elderly Gentleman","['Mr. Hilbery', 'Ralph Denham', 'Katharine Hilbery', 'Mrs. Hilbery', 'Mr. Fortescue']",Anaphoric,broke in a thin elderly gentleman,[],[],[],X,3,minor,NightAndDay,7,7,1,1,2,3266,3364
Q4-0,"A cousin of ours has married and gone to live in Manchester,","[3368, 3428]",Katharine Hilbery,"['Mr. Hilbery', 'A Thin, Elderly Gentleman', 'Ralph Denham', 'Mrs. Hilbery', 'Mr. Fortescue']",Explicit,Katharine explained,[],[],[],X,4,major,NightAndDay,8,8,1,1,19,3368,3428
Q5-0,Have you ever been to Manchester?,"[4001, 4034]",Ralph Denham,['Katharine Hilbery'],Anaphoric,he asked Katharine,['you'],"[[4006, 4009]]",[['Katharine Hilbery']],X,5,major,NightAndDay,9,9,1,1,35,4001,4034
Q6-0,"Never,","[4058, 4064]",Katharine Hilbery,['Ralph Denham'],Anaphoric,she replied,[],[],[],X,6,major,NightAndDay,10,10,1,1,19,4058,4064
Q7-0,"Why do you object to it, then?","[4081, 4111]",Ralph Denham,['Katharine Hilbery'],Implicit,,['you'],"[[4088, 4091]]",[['Katharine Hilbery']],X,7,major,NightAndDay,11,11,1,1,35,4081,4111
Q8-0,"I should think there would be no one to talk to in Manchester,","[4806, 4868]",Katharine Hilbery,['Ralph Denham'],Anaphoric,she replied,[],[],[],X,8,major,NightAndDay,13,13,1,1,19,4806,4868
