qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,your,4129,4133,[2],2
Q0-0,Basil,4145,4150,[2],2
Q0-0,you,4167,4170,[2],2
Q0-1,You,4216,4219,[2],2
Q2-0,My dear fellow,4955,4969,[2],2
Q2-0,you,4981,4984,[2],2
Q2-0,you,5012,5015,[2],2
Q2-0,You,5030,5033,[2],2
Q2-0,you,5092,5095,[2],2
Q2-0,you,5106,5109,[2],2
Q2-0,you,5156,5159,[2],2
Q2-0,you,5300,5303,[2],2
Q3-0,you,5434,5437,[19],19
Q4-0,you,5615,5618,[19],19
Q5-0,Basil,5707,5712,[2],2
Q5-0,you,5728,5731,[2],2
Q5-0,you,5793,5796,[2],2
Q5-0,your,5803,5807,[2],2
Q5-0,your,5831,5835,[2],2
Q5-0,this young Adonis,5857,5874,[4],4
Q5-0,he,5892,5894,[4],4
Q5-0,my dear Basil,5939,5952,[2],2
Q5-0,he,5954,5956,[4],4
Q5-0,you,5977,5980,[2],2
Q5-0,you,5997,6000,[2],2
Q5-0,you,6677,6680,[2],2
Q5-0,He,6782,6784,[4],4
Q5-0,we,6863,6865,"[2, 19]",-1
Q5-0,we,6925,6927,"[2, 19]",-1
Q5-0,Basil,6994,6999,[2],2
Q5-0,you,7001,7004,[2],2
Q5-0,him,7031,7034,[4],4
Q6-0,You,7039,7042,[19],19
Q6-0,Harry,7064,7069,[19],19
Q6-1,him,7118,7121,[4],4
Q6-1,him,7190,7193,[4],4
Q6-1,You,7195,7198,[19],19
Q6-1,your,7205,7209,[19],19
Q6-1,you,7234,7237,[19],19
Q6-1,They,7515,7519,[19],19
Q6-1,their,7531,7536,[19],19
Q6-1,They,7647,7651,[13],13
Q6-1,Your,7802,7806,[19],19
Q6-1,Harry,7824,7829,[19],19
Q6-1,Dorian Gray,7893,7904,[4],4
Q6-1,we,7918,7920,"[2, 4, 19]",-1
Q6-1,us,7967,7969,"[2, 4, 19]",-1
Q7-0,Dorian Gray,7991,8002,[4],4
Q7-0,his,8012,8015,[4],4
Q8-0,his,8106,8109,[4],4
Q8-0,you,8146,8149,[19],19
Q10-0,you,8688,8691,[19],19
Q11-1,my dear Basil,8777,8790,[2],2
Q11-1,You,8792,8795,[2],2
Q11-1,my wife,8955,8962,[15],15
Q11-1,my wife,8971,8978,[15],15
Q11-1,we,9013,9015,[19],19
Q11-1,we,9021,9023,[19],19
Q11-1,we,9051,9053,[19],19
Q11-1,we,9098,9100,[19],19
Q11-1,My wife,9170,9177,[15],15
Q11-1,She,9230,9233,[15],15
Q11-1,her,9259,9262,[15],15
Q11-1,she,9296,9299,[15],15
Q11-1,she,9318,9321,[15],15
Q11-1,she,9360,9363,[15],15
Q11-1,she,9375,9378,[15],15
Q12-0,you,9418,9421,[19],19
Q12-0,your,9433,9437,[19],19
Q12-0,Harry,9452,9457,[19],19
Q12-1,you,9550,9553,[19],19
Q12-1,you,9595,9598,[19],19
Q12-1,your,9625,9629,[19],19
Q12-1,You,9643,9646,[19],19
Q12-1,You,9676,9679,[19],19
Q12-1,you,9709,9712,[19],19
Q12-1,Your,9737,9741,[19],19
Q14-0,Basil,10190,10195,[2],2
Q14-1,your,10241,10245,[2],2
Q14-1,you,10276,10279,[2],2
Q16-0,You,10371,10374,[2],2
Q17-0,Harry,10405,10410,[19],19
Q18-0,you,10433,10436,[2],2
Q18-0,you,10456,10459,[2],2
Q18-0,you,10481,10484,[2],2
Q18-0,Dorian Gray,10499,10510,[4],4
Q19-0,you,10556,10559,[19],19
Q20-0,you,10584,10587,[2],2
Q20-0,You,10597,10600,[2],2
Q21-0,Harry,10685,10690,[19],19
Q23-0,you,11186,11189,[19],19
Q24-0,Basil,11283,11288,[2],2
Q25-0,Harry,11376,11381,[19],19
Q25-1,you,11423,11426,[19],19
Q25-1,you,11462,11465,[19],19
Q27-1,you,12450,12453,[19],19
Q27-1,Dorian Gray,12751,12762,[4],4
Q27-1,You,13120,13123,[19],19
Q27-1,Harry,13139,13144,[19],19
Q27-1,Dorian Gray,13252,13263,[4],4
Q27-1,you,13308,13311,[19],19
Q28-0,Basil,13708,13713,[2],2
Q29-0,Harry,13795,13800,[19],19
Q29-0,you,13822,13825,[19],19
Q30-0,You,14084,14087,[19],19
Q32-0,her dearest friend,14421,14439,[2],2
Q32-0,the young man whose personality had so strangely stirred me,14745,14804,[4],4
Q32-0,We,14806,14808,"[4, 2]",-1
Q32-0,Our,14844,14847,"[2, 4]",-1
Q32-0,him,14931,14934,[4],4
Q32-0,We,15005,15007,"[4, 2]",-1
Q32-0,Dorian,15085,15091,[4],4
Q32-0,He,15115,15117,[4],4
Q32-0,we,15134,15136,"[4, 2]",-1
Q33-0,this wonderful young man,15208,15232,[4],4
Q34-0,You,15836,15839,[19],19
Q34-0,Harry,15857,15862,[19],19
Q35-0,My dear fellow,15893,15907,[2],2
Q35-0,Mr. Dorian Gray,16043,16058,[4],4
Q37-0,us,16273,16275,"[2, 4]",-1
Q37-0,we,16301,16303,"[4, 2]",-1
Q39-0,You,16500,16503,[19],19
Q39-0,Harry,16541,16546,[19],19
Q39-1,You,16598,16601,[19],19
Q39-1,you,16634,16637,[19],19
Q40-0,you,16694,16697,[2],2
Q40-1,you,16912,16915,[2],2
Q40-1,their,16983,16988,[2],2
Q41-0,Harry,17343,17348,[19],19
Q41-0,your,17367,17371,[19],19
Q42-0,My dear old Basil,17418,17435,[2],2
Q42-0,you,17437,17440,[2],2
Q45-0,Harry,17670,17675,[19],19
Q46-0,My dear fellow,17710,17724,[2],2
Q47-0,you,18403,18406,[19],19
Q47-0,Harry,18437,18442,[19],19
Q47-0,you,18456,18459,[19],19
Q48-0,you,18607,18610,[2],2
Q48-0,Basil,18615,18620,[2],2
Q48-0,you,18646,18649,[2],2
Q48-0,he,18753,18755,[4],4
Q48-0,he,18835,18837,[4],4
Q48-0,his,19168,19171,[4],4
Q48-0,his,19179,19182,[4],4
Q48-0,his,19195,19198,[4],4
Q48-0,you,19288,19291,[2],2
Q48-0,Mr. Dorian Gray,19429,19444,[4],4
Q48-0,you,19459,19462,[2],2
Q48-0,him,19467,19470,[4],4
Q49-0,him,19522,19525,[4],4
Q49-0,He,19537,19539,[4],4
Q50-0,you,19603,19606,[2],2
Q50-0,your,19641,19645,[2],2
Q51-0,He,19654,19656,[4],4
Q51-1,Harry,19729,19734,[19],19
Q51-1,Dorian Gray,20051,20062,[4],4
Q51-1,him,20122,20125,[4],4
Q51-1,him,20137,20140,[4],4
Q51-1,him,20154,20157,[4],4
Q51-1,he,20196,20198,[4],4
Q51-1,you,20257,20260,[19],19
Q51-1,him,20309,20312,[4],4
Q51-1,his,20322,20325,[4],4
Q51-1,Dorian Gray,20461,20472,[4],4
Q51-1,you,20555,20558,[19],19
Q51-1,his,20574,20577,[4],4
Q51-1,them,20709,20713,[4],4
Q51-2,Dorian Gray,20879,20890,[4],4
Q51-2,this lad,20938,20946,[4],4
Q51-2,he,20951,20953,[4],4
Q51-2,he,20997,20999,[4],4
Q51-2,his,21022,21025,[4],4
Q51-2,you,21067,21070,[19],19
Q51-2,he,21114,21116,[4],4
Q51-2,Harry,21439,21444,[19],19
Q51-2,you,21449,21452,[19],19
Q51-2,Dorian Gray,21468,21479,[4],4
Q51-2,You,21490,21493,[19],19
Q51-2,Dorian Gray,21704,21715,[4],4
Q51-2,him,21765,21768,[4],4
Q52-0,Basil,21895,21900,[2],2
Q52-0,Dorian Gray,21936,21947,[4],4
Q53-0,Harry,22047,22052,[19],19
Q53-1,Dorian Gray,22065,22076,[4],4
Q53-1,You,22110,22113,[19],19
Q53-1,him,22135,22138,[4],4
Q53-1,him,22160,22163,[4],4
Q53-1,He,22165,22167,[4],4
Q53-1,him,22223,22226,[4],4
Q53-1,He,22237,22239,[4],4
Q53-1,him,22297,22300,[4],4
Q54-0,you,22417,22420,[2],2
Q54-0,his,22429,22432,[4],4
Q55-0,him,22621,22624,[4],4
Q55-0,He,22626,22628,[4],4
Q55-0,He,22653,22655,[4],4
Q55-0,Harry,22874,22879,[19],19
Q56-0,you,22934,22937,[2],2
Q57-1,Dorian Gray,23411,23422,[4],4
Q58-0,you,23435,23438,[2],2
Q58-0,Basil,23450,23455,[2],2
Q58-0,you,23480,23483,[2],2
Q58-0,Dorian Gray,23548,23559,[4],4
Q58-0,you,23573,23576,[2],2
Q59-0,He,23623,23625,[4],4
Q59-1,he,23672,23674,[4],4
Q59-1,him,23705,23708,[4],4
Q59-1,him,23767,23770,[4],4
Q59-1,he,23828,23830,[4],4
Q59-1,we,23854,23856,"[4, 2]",-1
Q59-1,he,23929,23931,[4],4
Q59-1,Harry,24022,24027,[19],19
Q59-1,his,24125,24128,[4],4
Q59-1,his,24164,24167,[4],4
Q60-0,Basil,24227,24232,[2],2
Q60-1,you,24284,24287,[2],2
Q60-1,he,24310,24312,[4],4
Q60-1,you,24897,24900,[2],2
Q60-1,you,24941,24944,[2],2
Q60-1,he,24975,24977,[4],4
Q60-1,you,24991,24994,[2],2
Q60-1,you,25029,25032,[2],2
Q60-1,his,25044,25047,[4],4
Q60-1,You,25078,25081,[2],2
Q60-1,him,25105,25108,[4],4
Q60-1,your,25112,25116,[2],2
Q60-1,he,25153,25155,[4],4
Q60-1,you,25182,25185,[2],2
Q60-1,he,25201,25203,[4],4
Q60-1,you,25211,25214,[2],2
Q60-1,you,25298,25301,[2],2
Q60-1,you,25308,25311,[2],2
Q61-0,Harry,25467,25472,[19],19
Q61-0,Dorian Gray,25534,25545,[4],4
Q61-0,You,25564,25567,[19],19
Q61-0,You,25592,25595,[19],19
Q62-0,my dear Basil,25621,25634,[2],2
Q64-0,Harry,27094,27099,[19],19
Q65-0,Dorian Gray,27130,27141,[4],4
Q67-0,Basil,27221,27226,[2],2
Q67-0,my aunt,27238,27245,[13],13
Q67-0,Lady Agatha,27247,27258,[13],13
Q67-0,She,27262,27265,[13],13
Q67-0,she,27274,27277,[13],13
Q67-0,a wonderful young man,27293,27314,[4],4
Q67-0,her,27337,27340,[13],13
Q67-0,his,27367,27370,[4],4
Q67-0,Dorian Gray,27380,27391,[4],4
Q67-0,she,27418,27421,[13],13
Q67-0,he,27436,27438,[4],4
Q67-0,She,27530,27533,[13],13
Q67-0,he,27544,27546,[4],4
Q68-0,you,27772,27775,[19],19
Q68-0,Harry,27784,27789,[19],19
Q70-0,you,27815,27818,[19],19
Q70-0,him,27827,27830,[4],4
Q71-0,You,27835,27838,[2],2
Q71-0,him,27861,27864,[4],4
Q73-0,Mr. Dorian Gray,27876,27891,[4],4
Q73-0,sir,27910,27913,[2],2
Q74-0,You,27959,27962,[2],2
Q75-0,Mr. Gray,28092,28100,[4],4
Q75-0,Parker,28110,28116,[29],29
Q76-0,Dorian Gray,28219,28230,[4],4
Q76-0,my dearest friend,28234,28251,[4],4
Q76-1,He,28264,28266,[4],4
Q76-1,she,28338,28341,[13],13
Q76-1,him,28350,28353,[4],4
Q76-1,him,28367,28370,[4],4
Q76-1,him,28395,28398,[4],4
Q76-1,Your,28400,28404,[19],19
Q76-1,the one person who gives to my art whatever charm it possesses,28510,28572,[4],4
Q76-1,him,28606,28609,[4],4
Q76-1,Harry,28617,28622,[19],19
Q76-1,you,28632,28635,[19],19
Q77-0,you,28739,28742,[2],2
Q78-0,You,29016,29019,[2],2
Q78-0,Basil,29040,29045,[2],2
Q79-0,you,29142,29145,[4],4
Q79-0,Dorian,29158,29164,[4],4
Q81-0,your,29439,29443,[2],2
Q81-0,Basil,29452,29457,[2],2
Q81-0,you,29477,29480,[2],2
Q81-0,you,29498,29501,[2],2
Q82-0,Lord Henry Wotton,29514,29531,[19],19
Q82-0,Dorian,29533,29539,[4],4
Q82-0,an old Oxford friend of mine,29541,29569,[19],19
Q82-0,him,29596,29599,[19],19
Q83-0,You,29672,29675,[4],4
Q83-0,you,29716,29719,[4],4
Q83-0,Mr. Gray,29721,29729,[4],4
Q83-1,My aunt,29791,29798,[13],13
Q83-1,you,29828,29831,[4],4
Q83-1,You,29833,29836,[4],4
Q83-1,her,29848,29851,[13],13
Q83-1,her,29889,29892,[13],13
Q84-0,Lady Agatha,29918,29929,[13],13
Q84-1,her,30053,30056,[13],13
Q84-1,We,30105,30107,"[4, 13]",-1
Q84-1,she,30186,30189,[13],13
Q85-0,your,30258,30262,[4],4
Q85-0,my aunt,30274,30281,[13],13
Q85-0,She,30283,30286,[13],13
Q85-0,you,30307,30310,[4],4
Q85-0,your,30354,30358,[4],4
Q85-0,Aunt Agatha,30426,30437,[13],13
Q85-0,she,30462,30465,[13],13
Q86-0,her,30533,30536,[13],13
Q87-0,You,30987,30990,[4],4
Q87-0,Mr. Gray,31035,31043,[4],4
Q88-0,Harry,31345,31350,[19],19
Q88-0,you,31396,31399,[19],19
Q88-0,you,31439,31442,[19],19
