qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,Will you give me a lump of sugar?,"[4745, 4778]",Randolph,['Winterbourne'],Anaphoric,he asked,['you'],"[[4750, 4753]]",[['Winterbourne']],X,0,minor,DaisyMiller,8,8,1,1,6,4745,4778
Q1-0,"Yes, you may take one,","[5002, 5024]",Winterbourne,['Randolph'],Anaphoric,he answered,['you'],"[[5007, 5010]]",[['Randolph']],X,1,major,DaisyMiller,9,9,1,1,8,5002,5024
Q1-1,but I don t think sugar is good for little boys.,"[5040, 5088]",Winterbourne,['Randolph'],Anaphoric,he answered,[],[],[],X,1,major,DaisyMiller,9,9,1,1,8,5040,5088
Q2-0,"Oh, blazes; it s har-r-d!","[5410, 5435]",Randolph,['Winterbourne'],Anaphoric,he exclaimed,[],[],[],X,2,minor,DaisyMiller,11,11,1,1,6,5410,5435
Q3-0,"Take care you don t hurt your teeth,","[5609, 5645]",Winterbourne,['Randolph'],Anaphoric,he said,"['you', 'your']","[[5619, 5622], [5634, 5638]]","[['Randolph'], ['Randolph']]",X,3,major,DaisyMiller,12,12,1,1,8,5609,5645
Q4-0,"I haven t got any teeth to hurt. They have all come out. I have only got seven teeth. My mother counted them last night, and one came out right afterward. She said she d slap me if any more came out. I can t help it. It s this old Europe. It s the climate that makes them come out. In America they didn t come out. It s these hotels.","[5670, 6003]",Randolph,['Winterbourne'],Implicit,,"['My mother', 'She', 'she']","[[5756, 5765], [5825, 5828], [5834, 5837]]","[['Mrs. Miller'], ['Mrs. Miller'], ['Mrs. Miller']]",X,4,minor,DaisyMiller,13,13,1,1,6,5670,6003
Q5-0,"If you eat three lumps of sugar, your mother will certainly slap you,","[6037, 6106]",Winterbourne,['Randolph'],Anaphoric,he said,"['you', 'your mother', 'you']","[[6040, 6043], [6070, 6081], [6102, 6105]]","[['Randolph'], ['Mrs. Miller'], ['Randolph']]",X,5,major,DaisyMiller,14,14,1,1,8,6037,6106
Q6-0,"She s got to give me some candy, then,","[6119, 6157]",Randolph,['Winterbourne'],Anaphoric,rejoined his young interlocutor,['She'],"[[6119, 6122]]",[['Mrs. Miller']],X,6,minor,DaisyMiller,15,15,1,1,6,6119,6157
Q6-1,I can t get any candy here--any American candy. American candy s the best candy.,"[6193, 6273]",Randolph,['Winterbourne'],Anaphoric,rejoined his young interlocutor,[],[],[],X,6,minor,DaisyMiller,15,15,1,1,6,6193,6273
Q7-0,And are American little boys the best little boys?,"[6277, 6327]",Winterbourne,['Randolph'],Explicit,asked Winterbourne,[],[],[],X,7,major,DaisyMiller,16,16,1,1,8,6277,6327
