qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"The mater will be delighted to see you again   after all those years,","[1217, 1286]",John Cavendish,['Mr. Hastings'],Anaphoric,he added,"['The mater', 'you']","[[1217, 1226], [1252, 1255]]","[['Mrs. Inglethorp'], ['Mr. Hastings']]",X,0,major,TheMysteriousAffairAtStyles,8,8,1,1,12,1217,1286
Q1-0,Your mother keeps well?,"[1300, 1323]",Mr. Hastings,['John Cavendish'],Anaphoric,I asked,['Your mother'],"[[1300, 1311]]",[['Mrs. Inglethorp']],X,1,major,TheMysteriousAffairAtStyles,9,9,1,1,16,1300,1323
Q2-0,"Oh, yes. I suppose you know that she has married again?","[1336, 1391]",John Cavendish,['Mr. Hastings'],Implicit,,"['you', 'she']","[[1355, 1358], [1369, 1372]]","[['Mr. Hastings'], ['Mrs. Inglethorp']]",X,2,major,TheMysteriousAffairAtStyles,10,10,1,1,12,1336,1391
Q3-0,Rotten little bounder too!,"[3292, 3318]",John Cavendish,['Mr. Hastings'],Anaphoric,he said,['Rotten little bounder'],"[[3292, 3313]]",[['Mr. Inglethorp']],X,3,major,TheMysteriousAffairAtStyles,16,16,1,1,12,3292,3318
Q3-1,"I can tell you, Hastings, it's making life jolly difficult for us. As for Evie   you remember Evie?","[3339, 3438]",John Cavendish,['Mr. Hastings'],Anaphoric,he said,"['you', 'Hastings', 'us', 'Evie', 'you', 'Evie']","[[3350, 3353], [3355, 3363], [3402, 3404], [3413, 3417], [3420, 3423], [3433, 3437]]","[['Mr. Hastings'], ['Mr. Hastings'], ['Mary Cavendish', 'John Cavendish'], ['Evelyn Howard'], ['Mr. Hastings'], ['Evelyn Howard']]",X,3,major,TheMysteriousAffairAtStyles,16,16,1,1,12,3339,3438
Q4-0,No.,"[3442, 3445]",Mr. Hastings,['John Cavendish'],Implicit,,[],[],[],X,4,major,TheMysteriousAffairAtStyles,17,17,1,1,16,3442,3445
Q5-0,"Oh, I suppose she was after your time. She's the mater's factotum, companion, Jack of all trades! A great sport   old Evie! Not precisely young and beautiful, but as game as they make them.","[3449, 3638]",John Cavendish,['Mr. Hastings'],Implicit,,"['she', 'your', 'She', ""the mater's factotum, companion, Jack of all trades"", 'A great sport', 'old Evie']","[[3463, 3466], [3477, 3481], [3488, 3491], [3494, 3545], [3547, 3560], [3563, 3571]]","[['Evelyn Howard'], ['Mr. Hastings'], ['Evelyn Howard'], ['Evelyn Howard'], ['Evelyn Howard'], ['Evelyn Howard']]",X,5,major,TheMysteriousAffairAtStyles,18,18,1,1,12,3449,3638
Q6-0,You were going to say      ?,"[3642, 3670]",Mr. Hastings,['John Cavendish'],Implicit,,['You'],"[[3642, 3645]]",[['John Cavendish']],X,6,major,TheMysteriousAffairAtStyles,19,19,1,1,16,3642,3670
Q7-0,"Oh, this fellow! He turned up from nowhere, on the pretext of being a second cousin or something of Evie's, though she didn't seem particularly keen to acknowledge the relationship. The fellow is an absolute outsider, anyone can see that. He's got a great black beard, and wears patent leather boots in all weathers! But the mater cottoned to him at once, took him on as secretary   you know how she's always running a hundred societies?","[3674, 4111]",John Cavendish,['Mr. Hastings'],Implicit,,"['this fellow', 'He', ""a second cousin or something of Evie's"", 'she', 'The fellow', 'He', 'the mater', 'him', 'him', 'you', 'she']","[[3678, 3689], [3691, 3693], [3742, 3780], [3789, 3792], [3856, 3866], [3913, 3915], [3995, 4004], [4017, 4020], [4035, 4038], [4057, 4060], [4070, 4073]]","[['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mr. Inglethorp'], ['Evelyn Howard'], ['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mrs. Inglethorp'], ['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mr. Hastings'], ['Mrs. Inglethorp']]",X,7,major,TheMysteriousAffairAtStyles,20,20,1,1,12,3674,4111
Q8-0,"Well, of course the war has turned the hundreds into thousands. No doubt the fellow was very useful to her. But you could have knocked us all down with a feather when, three months ago, she suddenly announced that she and Alfred were engaged! The fellow must be at least twenty years younger than she is! It's simply bare-faced fortune hunting; but there you are   she is her own mistress, and she's married him.","[4126, 4538]",John Cavendish,['Mr. Hastings'],Implicit,,"['the fellow', 'her', 'you', 'us', 'she', 'she', 'Alfred', 'The fellow', 'she', 'you', 'she', 'her', 'she', 'him']","[[4199, 4209], [4229, 4232], [4238, 4241], [4261, 4263], [4312, 4315], [4340, 4343], [4348, 4354], [4369, 4379], [4423, 4426], [4481, 4484], [4491, 4494], [4498, 4501], [4520, 4523], [4534, 4537]]","[['Alfred Inglethorp'], ['Mrs. Inglethorp'], ['Mr. Hastings'], ['Mary Cavendish', 'John Cavendish', 'Evelyn Howard'], ['Mrs. Inglethorp'], ['Mrs. Inglethorp'], ['Alfred Inglethorp'], ['Alfred Inglethorp'], ['Mrs. Inglethorp'], ['Mr. Hastings'], ['Mrs. Inglethorp'], ['Mrs. Inglethorp'], ['Mrs. Inglethorp'], ['Alfred Inglethorp']]",X,8,major,TheMysteriousAffairAtStyles,22,22,1,1,12,4126,4538
