qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,you,2319,2322,[4],4
Q0-0,you,2440,2443,[4],4
Q0-0,your,2477,2481,[4],4
Q0-0,you,2546,2549,[4],4
Q2-0,you,2645,2648,[4],4
Q4-0,You,3050,3053,[4],4
Q4-1,You,3106,3109,[4],4
Q5-0,General,6530,6537,[16],16
Q5-0,him,6562,6565,[16],16
Q5-0,his,6570,6573,[16],16
Q10-1,You,8302,8305,[16],16
Q12-0,you,11005,11008,[4],4
Q12-0,you,11027,11030,[4],4
Q17-0,us,13566,13568,[12],12
Q17-0,We,13683,13685,[12],12
Q17-0,we,13770,13772,[12],12
Q18-0,you,13825,13828,[12],12
Q19-0,us,13894,13896,[12],12
Q19-0,we,13953,13955,[12],12
Q21-0,the General,14077,14088,[16],16
Q22-0,you,14195,14198,[12],12
Q23-0,you,14303,14306,[4],4
Q24-0,That Marquis,14366,14378,[8],8
Q24-0,yours,14382,14387,[12],12
Q24-1,he,14404,14406,[8],8
Q24-1,your ,14427,14432,[12],12
Q25-0,you,14463,14466,[4],4
Q26-0,the General,14585,14596,[16],16
Q26-0,the Marquis,14633,14644,[8],8
Q28-0,the Marquis,14684,14695,[8],8
Q28-0,he,14725,14727,[8],8
Q28-0,your,14767,14771,[12],12
Q28-0,you,14789,14792,[12],12
Q30-0,he,15011,15013,[8],8
Q30-0,he,15069,15071,[8],8
Q30-0,his,15088,15091,[8],8
Q30-0,you,15113,15116,[4],4
Q31-0,he,15145,15147,[8],8
Q31-0,his,15168,15171,[8],8
Q31-0,he,15197,15199,[8],8
Q32-0,You,15235,15238,[4],4
Q32-0,he,15246,15248,[8],8
Q32-1,you,15308,15311,[4],4
Q32-1,this Englishman,15320,15335,[10],10
Q33-0,you,15378,15381,[12],12
Q33-0,him,15398,15401,[10],10
Q34-0,He,15483,15485,[10],10
Q34-1,he,15532,15534,[10],10
Q34-1,you,15551,15554,[12],12
Q35-0,he,15564,15566,[10],10
Q36-0,he,15609,15611,[10],10
Q36-0,the Frenchman,15637,15650,[8],8
