qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,The darling!,"[6693, 6705]",Newland Archer,[],Explicit,thought Newland Archer,['The darling'],"[[6693, 6704]]",[['May Wellend']],X,0,major,AgeOfInnocence,16,16,1,1,35,6693,6705
Q0-1,She doesn't even guess what it's all about.,"[6807, 6850]",Newland Archer,[],Explicit,thought Newland Archer,['She'],"[[6807, 6810]]",[['May Wellend']],X,0,major,AgeOfInnocence,16,16,1,1,35,6807,6850
Q1-0,We'll read Faust together ... by the Italian lakes ...,"[7036, 7090]",Newland Archer,[],Anaphoric,he thought,['We'],"[[7036, 7038]]","[['May Wellend', 'Newland Archer']]",X,1,major,AgeOfInnocence,16,16,1,1,35,7036,7090
Q2-0,Well--upon my soul!,"[9418, 9437]",Lawrence Lefferts,"['Newland Archer', 'Mr. Sillerton Jackson']",Explicit,exclaimed Lawrence Lefferts,[],[],[],X,2,minor,AgeOfInnocence,19,19,1,1,11,9418,9437
Q3-0,My God!,"[10418, 10425]",Lawrence Lefferts,"['Newland Archer', 'Mr. Sillerton Jackson']",Anaphoric,he said,[],[],[],X,3,minor,AgeOfInnocence,20,20,1,1,11,10418,10425
Q4-0,I didn't think the Mingotts would have tried it on.,"[14069, 14120]",Mr. Sillerton Jackson,['Lawrence Lefferts'],Anaphoric,he gave his moustache a thoughtful twist and said,[],[],[],X,4,minor,AgeOfInnocence,24,24,1,1,22,14069,14120
Q5-0,"What's the use of two good cooks in one family, now that I've married the girls and can't eat sauces?","[19377, 19478]",Mrs. Manson Mingott,['_unknowable'],Anaphoric,she used to say,[],[],[],X,5,major,AgeOfInnocence,32,32,1,1,36,19377,19478
Q6-0,"After all,","[20709, 20719]",Young Thorley,['_unknowable'],Anaphoric,he heard one of the younger men begin,[],[],[],X,6,minor,AgeOfInnocence,35,35,1,1,48,20709,20719
Q6-1,"after all, just WHAT happened?","[20836, 20866]",Young Thorley,['_unknowable'],Anaphoric,he heard one of the younger men begin,[],[],[],X,6,minor,AgeOfInnocence,35,35,1,1,48,20836,20866
Q7-0,"He's an awful brute, isn't he?","[20923, 20953]",Young Thorley,['_unknowable'],Explicit,continued the young enquirer a candid Thorley,"['He', 'he']","[[20923, 20925], [20950, 20952]]","[['Ellen Olenska'], ['Ellen Olenska']]",X,7,minor,AgeOfInnocence,37,37,1,1,48,20923,20953
