qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"A fire,","[673, 680]",The Invisible Man,['Mrs. Hall'],Anaphoric,he cried,[],[],[],X,0,major,TheInvisibleMan,4,4,1,1,24,673,680
Q0-1,in the name of human charity! A room and a fire!,"[693, 741]",The Invisible Man,['Mrs. Hall'],Anaphoric,he cried,[],[],[],X,0,major,TheInvisibleMan,4,4,1,1,24,693,741
Q1-0,"Can I take your hat and coat, sir?","[1909, 1943]",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,"['your', 'sir']","[[1920, 1924], [1939, 1942]]","[['The Invisible Man'], ['The Invisible Man']]",X,1,major,TheInvisibleMan,5,5,1,1,15,1909,1943
Q1-1,and give them a good dry in the kitchen?,"[1956, 1996]",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,[],[],[],X,1,major,TheInvisibleMan,5,5,1,1,15,1956,1996
Q2-0,"No,","[2000, 2003]",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[],[],[],X,2,major,TheInvisibleMan,6,6,1,1,24,2000,2003
Q2-1,"I prefer to keep them on,","[2163, 2188]",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,[],[],[],X,2,major,TheInvisibleMan,8,8,1,1,24,2163,2188
Q3-0,"Very well, sir,","[2371, 2386]",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,['sir'],"[[2382, 2385]]",[['The Invisible Man']],X,3,major,TheInvisibleMan,9,9,1,1,15,2371,2386
Q3-1,_As_ you like. In a bit the room will be warmer.,"[2399, 2447]",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,['you'],"[[2404, 2407]]",[['The Invisible Man']],X,3,major,TheInvisibleMan,9,9,1,1,15,2399,2447
Q4-0,"Your lunch is served, sir.","[2946, 2972]",Mrs. Hall,['The Invisible Man'],Anaphoric,She put down the eggs and bacon with considerable emphasis and called rather than said to him,"['Your', 'sir']","[[2946, 2950], [2968, 2971]]","[['The Invisible Man'], ['The Invisible Man']]",X,4,major,TheInvisibleMan,10,10,1,1,15,2946,2972
Q5-0,"Thank you,","[2976, 2986]",The Invisible Man,['Mrs. Hall'],Anaphoric,he said,['you'],"[[2982, 2985]]",[['Mrs. Hall']],X,5,major,TheInvisibleMan,11,11,1,1,24,2976,2986
Q6-0,That girl!,"[3321, 3331]",Mrs. Hall,[],Anaphoric,she said,[],[],[],X,6,major,TheInvisibleMan,12,12,1,1,15,3321,3331
Q6-1,There! I clean forgot it. It s her being so long!,"[3344, 3393]",Mrs. Hall,[],Anaphoric,she said,[],[],[],X,6,major,TheInvisibleMan,12,12,1,1,15,3344,3393
Q7-0,"I suppose I may have them to dry now,","[4287, 4324]",Mrs. Hall,['The Invisible Man'],Anaphoric,she said,[],[],[],X,7,major,TheInvisibleMan,13,13,1,1,15,4287,4324
Q8-0,"Leave the hat,","[4372, 4386]",The Invisible Man,['Mrs. Hall'],Anaphoric,said her visitor,[],[],[],X,8,major,TheInvisibleMan,14,14,1,1,24,4372,4386
